id,date_europe_rome,date_gmt,title,original_url,old_urls,categories,tags,language,attachments,missing,featured_image,content_file
workshop-vicinolontano-maggio-2015-udine,2015-05-21 13:06:53,2015-05-21T11:06:53Z,"Workshop Vicino/Lontano (maggio 2015, Udine)",https://www.hermescenter.org/workshop-vicinolontano-maggio-2015-udine/,,News,,IT,1,2,,data/posts/workshop-vicinolontano-maggio-2015-udine/content.html
open-call-for-globaleaks-developers,2015-08-23 12:03:21,2015-08-23T10:03:21Z,Open Call for GlobaLeaks Developers,https://www.hermescenter.org/open-call-for-globaleaks-developers/,,News,,EN,2,0,,data/posts/open-call-for-globaleaks-developers/content.html
cerchiamo-sviluppatori-per-software-libero-globaleaks,2015-08-23 12:12:48,2015-08-23T10:12:48Z,Cerchiamo Sviluppatori per Software Libero GlobaLeaks,https://www.hermescenter.org/cerchiamo-sviluppatori-per-software-libero-globaleaks/,,News,,IT,1,0,,data/posts/cerchiamo-sviluppatori-per-software-libero-globaleaks/content.html
lettera-di-supporto-contro-la-sorveglianza-politica-operata-dal-governo-ecuadoriano,2015-09-10 15:57:55,2015-09-10T13:57:55Z,Lettera di supporto contro la sorveglianza politica operata dal governo Ecuadoriano,https://www.hermescenter.org/lettera-di-supporto-contro-la-sorveglianza-politica-operata-dal-governo-ecuadoriano/,,Press,,IT,0,0,,data/posts/lettera-di-supporto-contro-la-sorveglianza-politica-operata-dal-governo-ecuadoriano/content.html
e-privacy-2015-captatori-informatici-e-societa-civile-una-convivenza-possibile,2015-10-12 04:52:37,2015-10-12T02:52:37Z,E-PRIVACY 2015 - Captatori Informatici e società civile:  una convivenza possibile?,https://www.hermescenter.org/e-privacy-2015-captatori-informatici-e-societa-civile-una-convivenza-possibile/,,News; Press,,IT,2,0,,data/posts/e-privacy-2015-captatori-informatici-e-societa-civile-una-convivenza-possibile/content.html
e-privacy-xx-edizione,2016-10-26 18:02:09,2016-10-26T16:02:09Z,E-Privacy XX Edizione: Privacy ed Antiterrorismo,https://www.hermescenter.org/e-privacy-xx-edizione/,,News; Press,,IT,0,0,,data/posts/e-privacy-xx-edizione/content.html
consultazione-anac-sul-foia-posizione-del-centro-hermes,2016-11-28 08:13:10,2016-11-28T07:13:10Z,Consultazione ANAC sul FOIA: Posizione del Centro Hermes,https://www.hermescenter.org/consultazione-anac-sul-foia-posizione-del-centro-hermes/,,News; Press,,IT,1,0,,data/posts/consultazione-anac-sul-foia-posizione-del-centro-hermes/content.html
globaleaks-hermes-center-project-concept-note-innovate-africa-fund,2017-01-02 13:38:19,2017-01-02T12:38:19Z,GlobaLeaks-Hermes Concept Note Shortlisted by Innovate AFRICA Fund,https://www.hermescenter.org/globaleaks-hermes-center-project-concept-note-innovate-africa-fund/,,News,,EN,0,0,,data/posts/globaleaks-hermes-center-project-concept-note-innovate-africa-fund/content.html
sorveglianza-abbiamo-chiesto-il-riesame-della-nostra-richiesta-di-accesso-al-mise,2017-05-30 10:27:40,2017-05-30T08:27:40Z,Sorveglianza: abbiamo chiesto il riesame della nostra richiesta di accesso al MISE,https://www.hermescenter.org/sorveglianza-abbiamo-chiesto-il-riesame-della-nostra-richiesta-di-accesso-al-mise/,,News; Press,,IT,1,0,,data/posts/sorveglianza-abbiamo-chiesto-il-riesame-della-nostra-richiesta-di-accesso-al-mise/content.html
conservazione-indiscriminata-dei-dati-per-6-anni,2017-07-23 11:10:12,2017-07-23T09:10:12Z,Conservazione indiscriminata dei dati per 6 anni,https://www.hermescenter.org/conservazione-indiscriminata-dei-dati-per-6-anni/,,News; Press,,IT,2,0,,data/posts/conservazione-indiscriminata-dei-dati-per-6-anni/content.html
appello-del-centro-hermes-ad-anac-per-la-tecnologia-di-whistleblowing-open-source,2017-07-24 11:00:50,2017-07-24T09:00:50Z,Appello del Centro Hermes ad ANAC per la Tecnologia di Whistleblowing open-source,https://www.hermescenter.org/appello-del-centro-hermes-ad-anac-per-la-tecnologia-di-whistleblowing-open-source/,,News; Press,,IT,0,0,,data/posts/appello-del-centro-hermes-ad-anac-per-la-tecnologia-di-whistleblowing-open-source/content.html
digital-whistleblowing-fund,2017-08-29 14:43:20,2017-08-29T12:43:20Z,Digital Whistleblowing Fund,https://www.hermescenter.org/digital-whistleblowing-fund/,,News,,EN,2,0,,data/posts/digital-whistleblowing-fund/content.html
eu-fine-fine-tracking-online-cookies,2017-10-11 17:17:01,2017-10-11T15:17:01Z,Chiediamo all’Europa di mettere fine al tracking online,https://www.hermescenter.org/eu-fine-fine-tracking-online-cookies/,,News; Press,,IT,0,0,,data/posts/eu-fine-fine-tracking-online-cookies/content.html
le-richieste-foia-sul-voto-elettronico-lombardia-2017,2017-10-23 13:39:54,2017-10-23T11:39:54Z,Le richieste FOIA sul Voto Elettronico Lombardia 2017,https://www.hermescenter.org/le-richieste-foia-sul-voto-elettronico-lombardia-2017/,,News; Press,,IT,13,1,,data/posts/le-richieste-foia-sul-voto-elettronico-lombardia-2017/content.html
centro-hermes-dig-festival-cybersecurity-giornalisti-slide,2017-11-06 23:38:21,2017-11-06T22:38:21Z,Il Centro Hermes al DIG Festival per la cybersecurity dei giornalisti (con slide),https://www.hermescenter.org/centro-hermes-dig-festival-cybersecurity-giornalisti-slide/,,News,,IT,0,0,,data/posts/centro-hermes-dig-festival-cybersecurity-giornalisti-slide/content.html
il-centro-hermes-ha-partecipato-al-linux-day-2017-pavia,2017-11-09 09:42:21,2017-11-09T08:42:21Z,Il centro Hermes ha partecipato al Linux Day 2017 a Pavia,https://www.hermescenter.org/il-centro-hermes-ha-partecipato-al-linux-day-2017-pavia/,,News,,IT,0,1,,data/posts/il-centro-hermes-ha-partecipato-al-linux-day-2017-pavia/content.html
google-iot-coming-research-production-promotion-policy-advice-impact-privacy-connected-smart-objects,2017-11-14 17:19:23,2017-11-14T16:19:23Z,"A Google of IoT is coming? Research, production and promotion of a Policy Advice for the impact on privacy of connected smart objects",https://www.hermescenter.org/google-iot-coming-research-production-promotion-policy-advice-impact-privacy-connected-smart-objects/,,News; Press,,EN,0,0,,data/posts/google-iot-coming-research-production-promotion-policy-advice-impact-privacy-connected-smart-objects/content.html
riforma-europea-del-copyright-filtri-automatici-per-gli-upload-mettono-pericolo-la-nostra-democrazia,2017-11-17 13:35:05,2017-11-17T12:35:05Z,Riforma europea del copyright: i filtri automatici per gli upload mettono in pericolo la nostra democrazia,https://www.hermescenter.org/riforma-europea-del-copyright-filtri-automatici-per-gli-upload-mettono-pericolo-la-nostra-democrazia/,,News; Press,,IT,2,0,,data/posts/riforma-europea-del-copyright-filtri-automatici-per-gli-upload-mettono-pericolo-la-nostra-democrazia/content.html
